Date,Time,Open,High,Low,Close,Volume
09-02-2026,03:30:00,1.18106,1.18146,1.18106,1.18146,5.75
09-02-2026,03:31:00,1.18145,1.18145,1.18134,1.18139,4.5
09-02-2026,03:32:00,1.18139,1.1814,1.18111,1.18111,9
09-02-2026,03:33:00,1.18114,1.18114,1.18114,1.18114,1.8
09-02-2026,03:34:00,1.18111,1.18131,1.18111,1.18127,14.4
09-02-2026,03:35:00,1.18126,1.18145,1.18117,1.18145,15.75
09-02-2026,03:36:00,1.18144,1.18144,1.18116,1.18136,48.15
09-02-2026,03:37:00,1.18137,1.18137,1.18135,1.18137,17.1
09-02-2026,03:38:00,1.18136,1.18139,1.18134,1.18134,33.3
09-02-2026,03:39:00,1.18139,1.18142,1.18135,1.18141,10.8
09-02-2026,03:40:00,1.18134,1.1814,1.18133,1.18139,11.25
09-02-2026,03:41:00,1.18137,1.18144,1.18135,1.18139,9
09-02-2026,03:42:00,1.18141,1.18141,1.18139,1.1814,14.4
09-02-2026,03:43:00,1.18139,1.18139,1.18128,1.18128,7
09-02-2026,03:44:00,1.18129,1.18129,1.18122,1.18122,3.4
09-02-2026,03:45:00,1.18131,1.18134,1.18118,1.18118,74.1
09-02-2026,03:46:00,1.1813,1.18133,1.18116,1.18116,45
09-02-2026,03:47:00,1.18121,1.18135,1.18117,1.18133,28.8
09-02-2026,03:48:00,1.18134,1.18134,1.18133,1.18133,10.8
09-02-2026,03:49:00,1.18127,1.18133,1.18117,1.18132,32.4
09-02-2026,03:50:00,1.18129,1.18134,1.18118,1.18132,38.7
09-02-2026,03:51:00,1.18132,1.18133,1.18116,1.18116,64.8
09-02-2026,03:52:00,1.18119,1.18135,1.18117,1.1813,67.95
09-02-2026,03:53:00,1.18133,1.18136,1.1812,1.18135,50.4
09-02-2026,03:54:00,1.18131,1.18139,1.18127,1.18139,45.9
09-02-2026,03:55:00,1.18132,1.18141,1.18132,1.18138,26.1
09-02-2026,03:56:00,1.18137,1.18139,1.18133,1.18138,6.3
09-02-2026,03:57:00,1.18138,1.18139,1.18138,1.18138,19.8
09-02-2026,03:58:00,1.18138,1.18139,1.18137,1.18137,4.5
09-02-2026,03:59:00,1.18138,1.18138,1.18137,1.18137,1.8
09-02-2026,04:00:00,1.18139,1.18139,1.18137,1.18138,9
09-02-2026,04:01:00,1.18138,1.18139,1.18134,1.18138,5.4
09-02-2026,04:02:00,1.18138,1.1814,1.18138,1.1814,4.5
09-02-2026,04:03:00,1.18139,1.18139,1.18138,1.18138,9
09-02-2026,04:04:00,1.18139,1.18139,1.18138,1.18139,6.3
09-02-2026,04:05:00,1.1814,1.1814,1.18133,1.18138,18.9
09-02-2026,04:07:00,1.18135,1.18135,1.18135,1.18135,0.9
09-02-2026,04:08:00,1.18135,1.18137,1.18132,1.18137,23.4
09-02-2026,04:09:00,1.18137,1.1814,1.18134,1.18136,21.6
09-02-2026,04:10:00,1.18133,1.18138,1.18132,1.18135,21.6
09-02-2026,04:11:00,1.18136,1.18136,1.18131,1.18136,18
09-02-2026,04:12:00,1.18135,1.18135,1.18135,1.18135,1.8
09-02-2026,04:13:00,1.18136,1.18143,1.18124,1.18134,51.3
09-02-2026,04:14:00,1.18135,1.18135,1.18131,1.18135,2.7
09-02-2026,04:15:00,1.18135,1.18135,1.18133,1.18135,2.7
09-02-2026,04:16:00,1.18136,1.18136,1.1813,1.18136,2.7
09-02-2026,04:17:00,1.18135,1.18136,1.18135,1.18136,1.8
09-02-2026,04:18:00,1.18136,1.18136,1.18134,1.18135,4.5
09-02-2026,04:19:00,1.18134,1.18136,1.1813,1.18134,40.05
09-02-2026,04:21:00,1.18135,1.1814,1.18135,1.1814,2.7
09-02-2026,04:22:00,1.18132,1.18138,1.18132,1.18138,3.6
09-02-2026,04:23:00,1.18139,1.1814,1.18133,1.1814,5.4
