Date,Time,Open,High,Low,Close,Volume
10-02-2026,00:00:00,1.36769,1.36786,1.36753,1.36755,110.7
10-02-2026,00:01:00,1.36757,1.3676,1.36745,1.36746,68.21
10-02-2026,00:02:00,1.36747,1.36764,1.36747,1.36759,80.1
10-02-2026,00:03:00,1.36757,1.36776,1.36756,1.36772,75.6
10-02-2026,00:04:00,1.36773,1.36774,1.36766,1.36767,57.6
10-02-2026,00:05:00,1.36774,1.36777,1.36773,1.36775,78.3
10-02-2026,00:06:00,1.36775,1.36786,1.36766,1.36784,64.8
10-02-2026,00:07:00,1.36783,1.36784,1.36767,1.36767,51.3
10-02-2026,00:08:00,1.3677,1.36785,1.36766,1.36784,70.2
10-02-2026,00:09:00,1.36783,1.36789,1.36777,1.36789,67.5
10-02-2026,00:10:00,1.3679,1.36798,1.36786,1.36788,80.1
10-02-2026,00:11:00,1.36788,1.36798,1.36785,1.36798,64.8
10-02-2026,00:12:00,1.36797,1.36797,1.36778,1.36784,55.8
10-02-2026,00:13:00,1.36784,1.36809,1.36784,1.36808,70.2
10-02-2026,00:14:00,1.36807,1.36814,1.36795,1.36805,107.1
10-02-2026,00:15:00,1.36805,1.36816,1.36801,1.36805,51.3
10-02-2026,00:16:00,1.36803,1.36807,1.36792,1.36798,48.6
10-02-2026,00:17:00,1.36793,1.36806,1.36791,1.36806,47.06
10-02-2026,00:18:00,1.36807,1.36829,1.36806,1.36815,106.46
10-02-2026,00:19:00,1.36816,1.36826,1.36811,1.36819,63
10-02-2026,00:20:00,1.36821,1.36821,1.368,1.36817,51.75
10-02-2026,00:21:00,1.36817,1.36838,1.36808,1.36838,88.2
10-02-2026,00:22:00,1.36838,1.36838,1.36826,1.36827,19.8
10-02-2026,00:23:00,1.36827,1.36832,1.36819,1.36828,29.7
10-02-2026,00:24:00,1.36827,1.36828,1.36809,1.36809,28.8
10-02-2026,00:25:00,1.36813,1.36827,1.36805,1.36826,70.2
10-02-2026,00:26:00,1.36825,1.3686,1.36825,1.36859,41.4
10-02-2026,00:27:00,1.36859,1.36911,1.36856,1.3691,123.3
10-02-2026,00:28:00,1.36909,1.36909,1.36883,1.36887,63.07
10-02-2026,00:29:00,1.36887,1.36893,1.36878,1.36893,69.3
10-02-2026,00:30:00,1.36893,1.36905,1.36875,1.36877,100.8
10-02-2026,00:31:00,1.36876,1.3688,1.36855,1.36856,60.3
10-02-2026,00:32:00,1.36858,1.36861,1.36851,1.3686,36
10-02-2026,00:33:00,1.36857,1.36872,1.36856,1.36859,31.5
10-02-2026,00:34:00,1.36855,1.36859,1.36842,1.36859,25.2
10-02-2026,00:35:00,1.36858,1.36858,1.36845,1.36854,16.2
10-02-2026,00:36:00,1.36854,1.36856,1.36851,1.36855,15.3
10-02-2026,00:37:00,1.36856,1.36868,1.36856,1.36868,37.8
10-02-2026,00:38:00,1.36864,1.36864,1.3685,1.3685,48.6
10-02-2026,00:39:00,1.36853,1.36857,1.36844,1.36846,34.2
10-02-2026,00:40:00,1.36846,1.36865,1.36846,1.36865,52.2
10-02-2026,00:41:00,1.36867,1.36892,1.36865,1.36891,72
10-02-2026,00:42:00,1.36889,1.36904,1.36878,1.36904,59.85
10-02-2026,00:43:00,1.36904,1.36908,1.36897,1.36903,26.55
10-02-2026,00:44:00,1.36903,1.36903,1.3689,1.36894,57.6
10-02-2026,00:45:00,1.36893,1.36914,1.36887,1.36913,49.5
10-02-2026,00:46:00,1.36911,1.36911,1.36903,1.36906,16.2
10-02-2026,00:47:00,1.36906,1.3691,1.36899,1.3691,43.2
10-02-2026,00:48:00,1.36909,1.36912,1.36899,1.36908,43.2
10-02-2026,00:49:00,1.36908,1.36909,1.36897,1.36898,26.32
10-02-2026,00:50:00,1.36898,1.36906,1.36895,1.36895,43.2
10-02-2026,00:51:00,1.36896,1.36896,1.36886,1.36886,27
10-02-2026,00:52:00,1.36886,1.36891,1.36874,1.36878,39.22
10-02-2026,00:53:00,1.36877,1.36879,1.36869,1.36878,42.3
10-02-2026,00:54:00,1.36877,1.36898,1.36874,1.36898,45.9
10-02-2026,00:55:00,1.36898,1.3692,1.36898,1.36915,56.7
10-02-2026,00:56:00,1.36917,1.36917,1.36906,1.3691,31.5
10-02-2026,00:57:00,1.36912,1.36913,1.36899,1.36899,38.7
10-02-2026,00:58:00,1.369,1.36908,1.36898,1.36908,20.7
10-02-2026,00:59:00,1.36909,1.36922,1.36908,1.3692,27.9
10-02-2026,01:00:00,1.36921,1.36921,1.3691,1.3692,30.15
10-02-2026,01:01:00,1.36919,1.3692,1.36912,1.36914,39.6
10-02-2026,01:02:00,1.36911,1.36921,1.36905,1.36909,33.55
10-02-2026,01:03:00,1.36909,1.36929,1.36908,1.36929,35.1
10-02-2026,01:04:00,1.3693,1.36939,1.36928,1.36935,28.8
10-02-2026,01:05:00,1.36937,1.36939,1.36928,1.36936,21.86
10-02-2026,01:06:00,1.36934,1.36947,1.3693,1.36947,29.7
10-02-2026,01:07:00,1.36948,1.36965,1.36947,1.36963,44.1
10-02-2026,01:08:00,1.36964,1.36979,1.36964,1.36979,51.3
10-02-2026,01:09:00,1.36979,1.3698,1.36965,1.36967,57.6
10-02-2026,01:10:00,1.36966,1.36966,1.36954,1.36954,47.7
10-02-2026,01:11:00,1.36955,1.36961,1.36954,1.36956,43.2
10-02-2026,01:12:00,1.36957,1.36999,1.36957,1.36999,81
10-02-2026,01:13:00,1.36998,1.36998,1.36975,1.36976,69.75
10-02-2026,01:14:00,1.36972,1.36982,1.36965,1.36977,30.57
10-02-2026,01:15:00,1.36978,1.3698,1.36969,1.36978,23.4
10-02-2026,01:16:00,1.36977,1.3698,1.36974,1.3698,20.7
10-02-2026,01:17:00,1.36978,1.36988,1.36969,1.36969,42.3
10-02-2026,01:18:00,1.3697,1.36974,1.36961,1.36961,35.1
10-02-2026,01:19:00,1.36963,1.36972,1.36958,1.36958,54.9
10-02-2026,01:20:00,1.36958,1.36959,1.36946,1.36957,43.2
10-02-2026,01:21:00,1.36954,1.36954,1.36944,1.36946,25.2
10-02-2026,01:22:00,1.36949,1.36949,1.36937,1.36939,37.8
10-02-2026,01:23:00,1.36938,1.36956,1.36938,1.36952,17.1
10-02-2026,01:24:00,1.36951,1.36962,1.36951,1.36959,31.5
10-02-2026,01:25:00,1.36962,1.36973,1.36961,1.36966,43.79
10-02-2026,01:26:00,1.36966,1.36967,1.36961,1.36961,32.4
10-02-2026,01:27:00,1.36959,1.36964,1.36949,1.36962,45.52
10-02-2026,01:28:00,1.36961,1.36961,1.36948,1.36951,29.7
10-02-2026,01:29:00,1.36955,1.3697,1.3695,1.36969,78.97
10-02-2026,01:30:00,1.36967,1.36976,1.36963,1.3697,32.4
10-02-2026,01:31:00,1.36975,1.3698,1.36966,1.36971,19.8
10-02-2026,01:32:00,1.36974,1.36974,1.36961,1.3697,28.8
10-02-2026,01:33:00,1.36972,1.36976,1.36967,1.36971,12.6
10-02-2026,01:34:00,1.36968,1.3697,1.36958,1.3696,17.1
10-02-2026,01:35:00,1.36959,1.36968,1.36958,1.3696,25.2
10-02-2026,01:36:00,1.36961,1.36971,1.3695,1.36969,33.3
10-02-2026,01:37:00,1.36972,1.36974,1.36959,1.36959,23.4
10-02-2026,01:38:00,1.36958,1.3696,1.36954,1.36959,17.1
10-02-2026,01:39:00,1.36958,1.3696,1.36956,1.36958,13.5
10-02-2026,01:40:00,1.36957,1.3696,1.36946,1.36958,20.25
10-02-2026,01:41:00,1.36958,1.36958,1.3695,1.36951,38.7
10-02-2026,01:42:00,1.36953,1.36953,1.36946,1.36948,16.2
10-02-2026,01:43:00,1.36944,1.36946,1.36936,1.36944,23.66
10-02-2026,01:44:00,1.36942,1.36951,1.36942,1.36948,9
10-02-2026,01:45:00,1.36952,1.36958,1.36947,1.36948,45.9
10-02-2026,01:46:00,1.36946,1.36948,1.3694,1.36941,162
10-02-2026,01:47:00,1.36942,1.36949,1.36932,1.36948,197.1
10-02-2026,01:48:00,1.36943,1.36943,1.36919,1.36924,259.2
10-02-2026,01:49:00,1.36922,1.36938,1.36921,1.36932,185.4
10-02-2026,01:50:00,1.36934,1.36939,1.36928,1.36937,196.2
10-02-2026,01:51:00,1.36938,1.36938,1.36929,1.36931,398.7
10-02-2026,01:52:00,1.36932,1.36936,1.36922,1.3693,223.2
10-02-2026,01:53:00,1.36931,1.36931,1.36925,1.36928,103.5
10-02-2026,01:54:00,1.36928,1.3693,1.3692,1.36928,136.8
10-02-2026,01:55:00,1.3693,1.3693,1.36921,1.36928,106.2
10-02-2026,01:56:00,1.36928,1.36938,1.36924,1.36926,173.7
10-02-2026,01:57:00,1.36928,1.36937,1.36928,1.36936,89.1
10-02-2026,01:58:00,1.36936,1.36936,1.36927,1.3693,117.9
10-02-2026,01:59:00,1.36934,1.36941,1.3693,1.36941,84.15
10-02-2026,02:00:00,1.36941,1.36946,1.36937,1.36941,162.9
10-02-2026,02:01:00,1.3694,1.36949,1.3694,1.36947,243
10-02-2026,02:02:00,1.36947,1.36965,1.36946,1.36965,362.7
10-02-2026,02:03:00,1.36965,1.3697,1.36962,1.36966,170.1
10-02-2026,02:04:00,1.36968,1.36969,1.36958,1.36959,63.9
10-02-2026,02:05:00,1.36957,1.36963,1.36953,1.3696,33.3
10-02-2026,02:06:00,1.36962,1.36962,1.3694,1.36946,48.6
10-02-2026,02:07:00,1.3695,1.36979,1.3695,1.36978,41.4
10-02-2026,02:08:00,1.36975,1.36977,1.3697,1.36973,15.3
10-02-2026,02:09:00,1.36971,1.36971,1.36947,1.36968,57.15
10-02-2026,02:10:00,1.36969,1.36971,1.36961,1.36965,80.1
10-02-2026,02:11:00,1.36965,1.36973,1.3696,1.3697,86.4
10-02-2026,02:12:00,1.36972,1.36981,1.36967,1.36979,88.2
10-02-2026,02:13:00,1.36981,1.36984,1.36977,1.36982,44.1
10-02-2026,02:14:00,1.36983,1.36988,1.36981,1.36987,15.3
10-02-2026,02:15:00,1.36986,1.36987,1.36976,1.36977,34.72
10-02-2026,02:16:00,1.36978,1.36978,1.36959,1.36962,41.47
10-02-2026,02:17:00,1.36964,1.36968,1.36954,1.36954,31.5
10-02-2026,02:18:00,1.36957,1.36964,1.36956,1.36959,71.1
10-02-2026,02:19:00,1.36961,1.36962,1.36954,1.36956,34.46
10-02-2026,02:20:00,1.36956,1.36967,1.36955,1.36958,28.8
10-02-2026,02:21:00,1.36965,1.36972,1.36964,1.3697,125.1
10-02-2026,02:22:00,1.36969,1.36971,1.36964,1.36968,12.6
10-02-2026,02:23:00,1.36972,1.36972,1.36947,1.36949,27.29
10-02-2026,02:24:00,1.36952,1.36958,1.36944,1.36953,47.7
10-02-2026,02:25:00,1.36952,1.36978,1.36952,1.36972,54.45
10-02-2026,02:26:00,1.36971,1.36971,1.36957,1.36959,24.07
10-02-2026,02:27:00,1.36956,1.36959,1.36955,1.36959,28.8
10-02-2026,02:28:00,1.36958,1.36973,1.36958,1.36963,68.4
10-02-2026,02:29:00,1.36962,1.36965,1.36942,1.36944,37.9
10-02-2026,02:30:00,1.36946,1.36949,1.36943,1.36948,21.6
10-02-2026,02:31:00,1.36946,1.36952,1.36944,1.36945,49.5
10-02-2026,02:32:00,1.36945,1.36949,1.36941,1.36947,54.26
10-02-2026,02:33:00,1.36948,1.36949,1.36945,1.36947,19.16
10-02-2026,02:34:00,1.36946,1.36961,1.3694,1.36961,40.31
10-02-2026,02:35:00,1.3696,1.3696,1.3695,1.36952,22.5
10-02-2026,02:36:00,1.36952,1.36952,1.36939,1.36941,21.86
10-02-2026,02:37:00,1.36942,1.36943,1.36934,1.36937,41.66
10-02-2026,02:38:00,1.36935,1.36937,1.36907,1.3691,52.63
10-02-2026,02:39:00,1.36908,1.36923,1.36908,1.36923,65.67
10-02-2026,02:40:00,1.36924,1.36949,1.36924,1.36949,33.3
10-02-2026,02:41:00,1.3695,1.36955,1.36938,1.3694,43.2
10-02-2026,02:42:00,1.3694,1.36946,1.36926,1.36927,58.05
10-02-2026,02:43:00,1.36929,1.36929,1.36927,1.36927,1.8
10-02-2026,02:44:00,1.36928,1.36929,1.36922,1.36926,233.55
10-02-2026,02:45:00,1.36926,1.3693,1.36921,1.36924,36.9
10-02-2026,02:46:00,1.36924,1.36932,1.36923,1.36928,226.8
10-02-2026,02:47:00,1.36931,1.36933,1.36926,1.36928,54.9
10-02-2026,02:48:00,1.36932,1.36939,1.36928,1.3693,12.6
10-02-2026,02:49:00,1.36929,1.36941,1.36926,1.3694,255.6
10-02-2026,02:50:00,1.36938,1.3694,1.36924,1.36925,31.57
10-02-2026,02:51:00,1.36926,1.36928,1.36924,1.36927,62.38
10-02-2026,02:52:00,1.36928,1.3693,1.36921,1.36929,62.38
10-02-2026,02:53:00,1.3693,1.3693,1.36921,1.36921,13.5
10-02-2026,02:54:00,1.36924,1.36929,1.3692,1.36927,58.26
10-02-2026,02:55:00,1.36929,1.36932,1.36926,1.36926,9
10-02-2026,02:56:00,1.36925,1.36925,1.36918,1.36918,15.3
10-02-2026,02:57:00,1.36918,1.36926,1.36915,1.36917,56.25
10-02-2026,02:58:00,1.36916,1.36917,1.36906,1.36906,28.8
10-02-2026,02:59:00,1.36906,1.36915,1.36905,1.36913,47.96
10-02-2026,03:00:00,1.36912,1.36919,1.3691,1.36918,13.76
10-02-2026,03:01:00,1.36918,1.36918,1.36917,1.36918,2.7
10-02-2026,03:02:00,1.3692,1.36936,1.3692,1.36929,31.5
10-02-2026,03:03:00,1.36928,1.3694,1.36926,1.36939,61.65
10-02-2026,03:04:00,1.36939,1.3695,1.36937,1.36946,19.8
