Date,Time,Open,High,Low,Close,Volume
11-02-2026,00:00:00,154.494,154.503,154.491,154.496,343.28
11-02-2026,00:01:00,154.496,154.51,154.476,154.499,281.57
11-02-2026,00:02:00,154.5,154.501,154.487,154.496,85.83
11-02-2026,00:03:00,154.496,154.518,154.496,154.514,88.4
11-02-2026,00:04:00,154.513,154.521,154.507,154.52,91.75
11-02-2026,00:05:00,154.52,154.543,154.509,154.539,99.28
11-02-2026,00:06:00,154.539,154.539,154.51,154.512,88.93
11-02-2026,00:07:00,154.511,154.512,154.493,154.495,58.65
11-02-2026,00:08:00,154.497,154.497,154.48,154.486,119.7
11-02-2026,00:09:00,154.488,154.496,154.482,154.486,67.95
11-02-2026,00:10:00,154.487,154.501,154.485,154.498,36
11-02-2026,00:11:00,154.497,154.498,154.485,154.493,54.43
11-02-2026,00:12:00,154.494,154.494,154.478,154.491,92.2
11-02-2026,00:13:00,154.491,154.495,154.482,154.485,58.01
11-02-2026,00:14:00,154.484,154.486,154.472,154.476,52.56
11-02-2026,00:15:00,154.477,154.486,154.473,154.486,33.6
11-02-2026,00:16:00,154.492,154.504,154.484,154.499,130.8
11-02-2026,00:17:00,154.5,154.5,154.484,154.495,57.41
11-02-2026,00:18:00,154.494,154.529,154.494,154.522,68.7
11-02-2026,00:19:00,154.524,154.524,154.516,154.521,66
11-02-2026,00:20:00,154.519,154.524,154.507,154.519,78
11-02-2026,00:21:00,154.516,154.516,154.494,154.494,57.58
11-02-2026,00:22:00,154.495,154.495,154.482,154.484,53.1
11-02-2026,00:23:00,154.49,154.506,154.49,154.498,80.4
11-02-2026,00:24:00,154.497,154.497,154.482,154.485,55.45
11-02-2026,00:25:00,154.484,154.487,154.482,154.482,33.9
11-02-2026,00:26:00,154.485,154.494,154.479,154.491,59.4
11-02-2026,00:27:00,154.492,154.492,154.47,154.47,46.5
11-02-2026,00:28:00,154.472,154.505,154.471,154.491,89.38
11-02-2026,00:29:00,154.491,154.507,154.486,154.498,156.27
11-02-2026,00:30:00,154.497,154.521,154.49,154.518,100.99
11-02-2026,00:31:00,154.519,154.534,154.515,154.534,140.28
11-02-2026,00:32:00,154.537,154.549,154.529,154.532,100.21
11-02-2026,00:33:00,154.531,154.534,154.522,154.532,53.9
11-02-2026,00:34:00,154.531,154.539,154.521,154.539,52.95
11-02-2026,00:35:00,154.541,154.542,154.52,154.521,49.8
11-02-2026,00:36:00,154.522,154.533,154.518,154.533,95.4
11-02-2026,00:37:00,154.533,154.535,154.529,154.534,42.45
11-02-2026,00:38:00,154.536,154.54,154.529,154.535,94.95
11-02-2026,00:39:00,154.535,154.548,154.534,154.548,75.9
11-02-2026,00:40:00,154.547,154.587,154.547,154.582,183
11-02-2026,00:41:00,154.58,154.58,154.551,154.551,104.71
11-02-2026,00:42:00,154.549,154.556,154.543,154.547,48.16
11-02-2026,00:43:00,154.546,154.546,154.534,154.535,66.06
11-02-2026,00:44:00,154.537,154.538,154.53,154.53,26.4
